geoid;gini
36047032800;0,5548
36047032900;0,5368
36047033000;0,5498
36047033100;0,5058
36047033300;0,4062
36047033500;0,5083
36047033600;0,449
36047033700;0,4336
36047033900;0,4893
36047034000;0,4804
36047034100;0,5076
36047034200;0,5263
36047034300;0,5624
36047034500;0,4976
36047034700;0,4976
36047034800;0,4314
36047034900;0,4879
36047035000;0,442
36047035100;0,5088
36047035200;0,4
36047035300;0,4514
36047035400;0,5324
36047035500;0,4179
36047035601;0,4797
36047035602;0,509
36047035700;0,5819
36047035900;0,4742
36047036001;0,5956
36047036002;0,5327
36047036100;0,4424
36047036200;0,5257
36047036300;0,4886
36047036400;0,5419
36047036501;0,4508
36047036502;0,4155
36047036600;0,4927
36047036700;0,4419
36047036900;0,5031
36047037000;0,4812
36047037100;0,4798
36047037300;0,5237
36047037401;0,5148
36047037402;0,566
36047037500;0,4344
36047037700;0,5233
36047037900;0,4951
36047038100;0,5209
36047038200;0,5684
36047038300;0,5212
36047038500;0,4868
36047038600;0,4013
36047038700;0,5016
36047038800;0,4184
36047038900;0,4723
36047039000;0,4972
36047039100;0,4458
36047039200;0,4761
36047039300;0,5019
36047039400;0,5793
36047039500;0,4787
36047039600;0,5696
36047039700;0,5776
36047039800;0,5077
36047039900;0,47
36047040000;0,4244
36047040100;0,4465
36047040200;0,4785
36047040300;0,5042
36047040400;0,486
36047040500;0,4606
36047040600;0,5307
36047040800;0,4192
36047040900;0,4441
36047041000;0,4819
36047041100;0,6214
36047041200;0,5923
36047041300;0,5422
36047041401;0,4704
36047041402;0,6086
36047041500;0,4455
36047041600;0,5582
36047041700;0,4395
36047041800;0,5558
36047041900;0,4695
36047042000;0,5671
36047042100;0,4619
36047042200;0,5044
36047042300;0,4475
36047042400;0,4504
36047042500;0,423
36047042600;0,4797
36047042700;0,4752
36047042800;0,4783
36047042900;0,4532
36047043000;0,4256
36047043100;0,4638
36047043200;0,4571
36047043300;0,499
36047043400;0,503
36047043500;0,4631
36047043600;0,4477
36047043700;0,4601
36047043800;0,5471
36047043900;0,5141
36047044000;0,5123
36047044100;0,4423
36047044200;0,5661
36047044300;0,4381
36047044400;0,5915
36047044500;0,4377
36047044600;0,4648
36047044700;0,4699
36047044800;0,5619
36047044900;0,5224
36047045000;0,6081
36047045200;0,4726
36047045300;0,4864
36047045400;0,5181
36047045600;0,5806
36047045800;0,5903
36047046000;0,5089
36047046201;0,5085
36047046202;0,5615
36047046400;0,441
36047046800;0,4435
36047047000;0,5467
36047047200;0,4761
36047047400;0,5959
36047047600;0,5038
36047047700;0,4033
36047047800;0,5457
36047048000;0,5212
36047048100;0,4485
36047048200;0,4382
36047048400;0,4361
36047048500;0,358
36047048600;0,4346
36047048800;0,4352
36047048900;0,5329
36047049000;0,4814
36047049100;0,5
36047049200;0,5177
36047049300;0,593
36047049400;0,4864
36047049500;0,4739
36047049600;0,3787
36047049700;0,516
36047049800;0,4361
36047049900;0,4784
36047050000;0,4163
36047050100;0,4398
36047050202;0,4802
36047050300;0,4036
36047050400;0,4891
36047050500;0,5057
36047050600;0,4524
36047050700;0,4107
36047050801;0,4333
36047050803;0,4245
36047050804;0,4125
36047050900;0,4943
36047051001;0,4488
36047051002;0,4555
36047051100;0,5517
36047051200;0,4854
36047051300;0,4313
36047051400;0,4674
36047051500;0,3719
36047051601;0,3621
36047051602;0,4229
36047051700;0,4784
36047051800;0,5281
36047051900;0,4231
36047052000;0,5198
36047052300;0,5307
36047052500;0,5818
36047052600;0,4583
36047052700;0,4904
36047052800;0,5085
36047052900;0,4915
36047053000;0,504
36047053100;0,6212
36047053200;0,5342
36047053300;0,6361
36047053400;0,5459
36047053500;0,3801
36047053700;0,3929
36047053800;0,4842
36047053900;0,5322
36047054200;0,5048
36047054300;0,3618
36047054400;0,549
36047054500;0,6391
36047054600;0,53
36047054700;0,524
36047054800;0,5381
36047054900;0,5222
36047055000;0,4313
36047055100;0,4842
36047055200;0,473
36047055300;0,4625
36047055400;0,4455
36047055500;0,4709
36047055600;0,4249
36047055700;0,5744
36047055800;0,4985
36047056000;0,4237
36047056100;0,4589
36047056200;0,4903
36047056300;0,5144
36047056400;0,4261
36047056500;0,4217
36047056600;0,4323
36047056800;0,3937
36047056900;0,4821
36047057000;0,4217
36047057100;0,4618
36047057200;0,4683
36047057300;0,4489
36047057400;0,4369
36047057500;0,4447
36047057600;0,4132
36047057800;0,4682
36047057900;0,4893
36047058000;0,4664
36047058200;0,4046
36047058400;0,4618
36047058600;0,4617
36047058800;0,4934
36047058900;0,3407
36047059000;0,498
36047059100;0,3809
36047059200;0,4774
36047059300;0,422
36047059401;0,4814
36047059402;0,4514
36047059600;0,456
36047059800;0,4981
36047060000;0,4271
36047060600;0,4235
36047060800;0,4823
36047061002;0,5463
36047061003;0,4422
36047061004;0,5049
