OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
161,      0.03580391006,      0.00007191307,Midtown Center,161,Manhattan,  990428.525989642020000,  215447.527223911400000
162,      0.03526981462,      0.00004789370,Midtown East,162,Manhattan,  991908.589567896100000,  214959.581642298960000
163,      0.03417686698,      0.00004085678,Midtown North,163,Manhattan,  990463.795435375770000,  217776.882448112850000
164,      0.03577161199,      0.00005563182,Midtown South,164,Manhattan,  988362.833435724960000,  212002.893035668940000
165,      0.08860803621,      0.00035395932,Midwood,165,Brooklyn,  996235.968139194770000,  165498.628944830390000
166,      0.06882375429,      0.00025527627,Morningside Heights,166,Manhattan,  994834.787252680750000,  234186.326872106410000
167,      0.09081597373,      0.00016752939,Morrisania/Melrose,167,Bronx, 1011274.103121610000000,  240777.450485514540000
168,      0.11451743416,      0.00054705810,Mott Haven/Port Morris,168,Bronx, 1007276.655262573900000,  233426.310532684960000
169,      0.06010465803,      0.00014602754,Mount Hope,169,Bronx, 1010498.896617745500000,  248626.500662113020000
170,      0.04576900911,      0.00007431507,Murray Hill,170,Manhattan,  990209.600058688080000,  211701.315979929230000
171,      0.10735387624,      0.00052009954,Murray Hill-Queens,171,Queens, 1037005.246088869200000,  219265.332375737170000
172,      0.11847611615,      0.00065840250,New Dorp/Midland Beach,172,Staten Island,  955074.284024230790000,  147604.722496334840000
173,      0.06006396614,      0.00017832985,North Corona,173,Queens, 1022197.087076811500000,  213491.233526723280000
174,      0.06781775596,      0.00015592866,Norwood,174,Bronx, 1017705.685370664200000,  258865.702767780520000
175,      0.13489766510,      0.00050492073,Oakland Gardens,175,Queens, 1052245.039652121700000,  209946.980830711750000
176,      0.15199519070,      0.00065778213,Oakwood,176,Staten Island,  950189.721817245820000,  144049.900289806600000
177,      0.07158054071,      0.00019889476,Ocean Hill,177,Brooklyn, 1008206.486389696500000,  185807.868762944710000
178,      0.06825287707,      0.00017580541,Ocean Parkway South,178,Brooklyn,  992488.334214886880000,  164182.164210829190000
179,      0.07138086444,      0.00018389348,Old Astoria,179,Queens, 1004100.553267475900000,  220388.743049307140000
180,      0.08052776715,      0.00024768219,Ozone Park,180,Queens, 1026677.579766577200000,  185450.931301478150000
181,      0.08953723995,      0.00030689029,Park Slope,181,Brooklyn,  989405.746256787450000,  183512.266066026090000
182,      0.03936063695,      0.00009106442,Parkchester,182,Bronx, 1023546.119587881500000,  244523.604785716830000
183,      0.03982629603,      0.00009519295,Pelham Bay,183,Bronx, 1030844.605816181200000,  248698.685103809720000
184,      0.26081568304,      0.00198883363,Pelham Bay Park,184,Bronx, 1037392.699343806000000,  255671.999973617810000
185,      0.08616196816,      0.00022853710,Pelham Parkway,185,Bronx, 1024530.253226589800000,  250593.752991002870000
186,      0.02469639022,      0.00003707294,Penn Station/Madison Sq West,186,Manhattan,  986345.398600468760000,  211974.446218566500000
187,      0.12686843132,      0.00042119576,Port Richmond,187,Staten Island,  945169.957190594520000,  168165.569989557150000
188,      0.09779839684,      0.00031300303,Prospect-Lefferts Gardens,188,Brooklyn,  998832.380881352820000,  179279.219372258900000
189,      0.04867433065,      0.00010142759,Prospect Heights,189,Brooklyn,  993240.614954486840000,  186158.903766254890000
190,      0.07432946608,      0.00027087367,Prospect Park,190,Brooklyn,  992874.569042818270000,  180324.550480107860000
191,      0.13093263766,      0.00068846060,Queens Village,191,Queens, 1055901.629081539100000,  200041.333839874690000
192,      0.11196461971,      0.00037380802,Queensboro Hill,192,Queens, 1035449.727791512600000,  210299.493289190780000
193,      0.06552995848,      0.00014559166,Queensbridge/Ravenswood,193,Queens, 1000318.472670505100000,  216284.733880459160000
194,      0.08179383535,      0.00027348170,Randalls Island,194,Manhattan, 1005129.342664200100000,  227468.716265526430000
195,      0.13130824407,      0.00080165195,Red Hook,195,Brooklyn,  981704.064401276410000,  185397.130970592000000
196,      0.08324211063,      0.00019747133,Rego Park,196,Queens, 1022128.768997928900000,  203864.036664973740000
197,      0.10856853223,      0.00050468916,Richmond Hill,197,Queens, 1031135.253061515300000,  192362.216989432750000
198,      0.13409424276,      0.00049980988,Ridgewood,198,Queens, 1011501.486841196300000,  196698.544013886800000
